2030	0.897796664
2040	0.897960003
2050	0.897909814
2060	0.897758031
2070	0.897506087
2080	0.897155395
2090	0.896722113
2100	0.896107208
2110	0.895388552
2120	0.894667875
2130	0.893979219
2140	0.893551067
2150	0.892768804
2160	0.892089868
2170	0.891191092
2180	0.890736566
2190	0.890100897
2200	0.889890263
2210	0.889456071
2220	0.888908217
2230	0.888493249
2240	0.888244953
2250	0.887826944
2260	0.887163853
2270	0.886332218
2280	0.884317531
2290	0.881855286
2300	0.879749079
2310	0.877481053
2320	0.874770855
2330	0.87180822
2340	0.868268493
2350	0.864253907
2360	0.861746534
2370	0.858665511
2380	0.855434885
2390	0.852439619
2400	0.848311576
